label,new,old
Unlabeled,2023,5356
A-NLL,0,0
A-allocators,0,1
A-amusing,0,3
A-associated-items,7,6
A-async-await,0,0
A-attributes,0,0
A-bitrig,0,0
A-bsd,0,0
A-build,7,8
A-closures,129,7
A-codegen,21,11
A-collections,24,15
A-concurrency,0,0
A-const-fn,2,0
A-debuginfo,2,20
A-destructors,0,12
A-diagnostics,38,9
A-docs,16,35
A-dragonflybsd,0,0
A-dst,17,14
A-edition-2018-lints,0,0
A-frontend,0,1
A-hir,0,0
A-infrastructure,3,19
A-io,4,41
A-iterators,1,0
A-lang,0,0
A-libs,131,107
A-lifetimes,8,5
A-linkage,1,11
A-lint,15,4
A-linux,0,1
A-llvm,16,7
A-macros,0,11
A-macros-1.2,0,0
A-mir,0,0
A-openbsd,0,0
A-parallel-queries,0,0
A-parser,2,11
A-plugin,7,0
A-resolve,0,1
A-runtime,1,8
A-rust-2018-preview,0,0
A-rustbuild,0,0
A-rustdoc,23,17
A-save-analysis,0,0
A-stability,1,0
A-syntaxext,15,12
A-testsuite,3,1
A-tools,1,5
A-traits,5,32
A-typesystem,18,48
A-unicode,0,0
A-windows,9,15
A-x86_64,0,0
T-compiler,15,4
T-core,0,1
T-dev-tools,0,7
T-dev-tools-rustdoc,0,0
T-doc,1,0
T-infra,0,0
T-lang,7,31
T-libs,3,2
T-release,0,0
T-rustdoc,0,0
