open,additions,labels,,,,,,,Pr_number
2014-02-02T13:27:08Z,282,"A-lang;B-RFC-approved;B-unstable,A-parser;B-RFC",,,,,,,11994
2015-07-04T16:59:29Z,110,"E-easy;I-cleanup,A-frontend;E-easy,E-easy;I-cleanup,A-frontend;E-easy",,,,,,,26772
2015-07-04T21:11:17Z,222,NULL,,,,,,,26777
2015-07-05T05:54:31Z,2,NULL,,,,,,,26783
2015-07-05T15:35:16Z,324,NULL,,,,,,,26798
2015-07-05T19:42:07Z,1,NULL,,,,,,,26807
2015-07-05T23:12:21Z,22,NULL,,,,,,,26811
2015-07-06T06:55:43Z,1,A-docs,,,,,,,26820
2015-07-06T15:47:11Z,8,I-ICE,,,,,,,26824
2015-07-06T16:14:43Z,8533,NULL,,,,,,,26825
2015-07-06T16:27:28Z,66,NULL,,,,,,,26827
2015-07-06T17:39:51Z,1,A-docs,,,,,,,26828
2015-07-06T17:43:51Z,14,NULL,,,,,,,26829
2015-07-06T19:40:03Z,17,P-low,,,,,,,26833
2015-07-06T21:45:00Z,8914,NULL,,,,,,,26836
2015-07-06T22:30:53Z,995,NULL,,,,,,,26837
2015-07-07T02:06:31Z,2520,NULL,,,,,,,26844
2015-07-07T03:29:26Z,40,NULL,,,,,,,26846
2015-07-07T13:19:20Z,43,NULL,,,,,,,26852
2015-07-07T13:22:56Z,57,"A-docs,A-docs,A-docs",,,,,,,26853
2015-07-07T13:27:12Z,42,"A-docs,A-docs,A-docs",,,,,,,26854
2015-07-07T13:29:19Z,26,"A-docs,A-docs,A-docs",,,,,,,26855
2015-07-07T13:37:20Z,42,NULL,,,,,,,26856
2015-07-07T15:24:25Z,20,NULL,,,,,,,26858
2015-07-07T15:49:13Z,1,NULL,,,,,,,26859
2015-07-07T17:49:56Z,4547,NULL,,,,,,,26861
2015-07-07T17:57:04Z,24,NULL,,,,,,,26863
2015-07-08T10:57:58Z,70,NULL,,,,,,,26879
2015-07-08T12:29:54Z,132,NULL,,,,,,,26883
2015-07-08T13:09:35Z,96,"A-libs;E-easy,A-libs;E-easy",,,,,,,26885
2015-07-08T14:32:32Z,8,"A-resolve;I-cleanup,A-resolve;I-cleanup",,,,,,,26889
2015-07-08T17:05:22Z,102,NULL,,,,,,,26891
2015-07-08T17:09:21Z,42,NULL,,,,,,,26892
2015-07-08T18:34:27Z,1454,NULL,,,,,,,26894
2015-07-08T21:41:23Z,1079,"A-io;T-libs,A-io;T-libs,A-io;T-libs",,,,,,,26897
2015-07-09T16:52:58Z,26,NULL,,,,,,,26901
2015-07-09T23:47:21Z,158,relnotes,,,,,,,26904
2015-07-09T23:47:21Z,400,"A-llvm;I-ICE;T-compiler,A-llvm;I-ICE;T-compiler,A-llvm;I-ICE;T-compiler",,,,,,,26919
2015-07-10T07:06:43Z,130,NULL,,,,,,,26929
2015-07-10T09:53:20Z,24,"B-RFC-approved,B-RFC-approved,B-RFC-approved",,,,,,,26931
2015-07-10T12:52:13Z,3,NULL,,,,,,,26934
2015-07-10T17:46:02Z,671,NULL,,,,,,,26936
2015-07-10T17:46:02Z,2870,NULL,,,,,,,26942
2015-07-10T23:33:20Z,125,NULL,,,,,,,26947
2015-07-10T23:33:20Z,375,"A-libs;I-crash;I-nominated;I-wrong,A-libs;I-crash;I-nominated;I-wrong,A-libs;I-crash;I-nominated;I-wrong",,,,,,,26955
2015-07-11T07:40:14Z,28,"A-libs;B-RFC-approved;E-easy,A-libs;B-RFC-approved;E-easy,A-libs;B-RFC-approved;E-easy",,,,,,,26957
2015-07-11T07:40:14Z,949,"relnotes,relnotes",,,,,,,26961
2015-07-11T11:33:43Z,6,NULL,,,,,,,26963
2015-07-11T11:58:15Z,231,NULL,,,,,,,26965
2015-07-12T00:45:58Z,96,"A-libs;B-RFC-approved,A-libs;B-RFC-approved,A-libs;B-RFC-approved",,,,,,,26966
2015-07-12T03:05:53Z,498,"A-docs,A-docs,A-docs",,,,,,,26981
2015-07-12T03:05:53Z,2241,NULL,,,,,,,26982
2015-07-12T07:35:55Z,171,NULL,,,,,,,26984
2015-07-12T07:35:55Z,4093,NULL,,,,,,,26985
2015-07-12T22:44:15Z,8,"A-debuginfo,A-debuginfo,A-debuginfo",,,,,,,26993
2015-07-13T02:57:32Z,13,NULL,,,,,,,26999
2015-07-13T06:49:11Z,17,NULL,,,,,,,27003
2015-07-13T11:27:04Z,31,NULL,,,,,,,27006
2015-07-13T11:58:02Z,231,"A-codegen;I-wrong,A-codegen;I-wrong,A-codegen;I-wrong",,,,,,,27011
2015-07-13T13:25:40Z,458,NULL,,,,,,,27012
2015-07-13T17:18:03Z,0,NULL,,,,,,,27013
2015-07-13T18:04:56Z,0,NULL,,,,,,,27017
2015-07-13T22:19:03Z,78,"I-ICE,I-ICE,I-ICE",,,,,,,27018
2015-07-13T22:19:03Z,399,"A-diagnostics,A-diagnostics,A-diagnostics",,,,,,,27026
2015-07-15T05:21:25Z,132,"A-windows,A-windows",,,,,,,27036
2015-07-15T05:21:25Z,664,"I-ICE,I-ICE,I-ICE,I-ICE",,,,,,,27050
2015-07-16T07:25:40Z,26,NULL,,,,,,,27056
2015-07-16T19:02:27Z,4,NULL,,,,,,,27061
2015-07-17T08:06:25Z,36,"B-RFC-approved,B-RFC-approved",,,,,,,27064
2015-07-17T08:06:25Z,19,"A-parser;E-easy,A-parser;E-easy",,,,,,,27065
2015-07-17T08:06:25Z,1,NULL,,,,,,,27073
2015-07-17T08:06:25Z,1,A-rustdoc,,,,,,,27074
2015-07-17T08:06:25Z,7109,beta-accepted;T-libs,,,,,,,27082
2015-07-17T18:08:46Z,38,NULL,,,,,,,27084
2015-07-17T18:35:37Z,38,A-diagnostics,,,,,,,27085
2015-07-17T18:35:37Z,1,NULL,,,,,,,27087
2015-07-17T19:44:05Z,2,NULL,,,,,,,27088
2015-07-17T21:13:17Z,42,NULL,,,,,,,27093
2015-07-17T21:13:17Z,92,NULL,,,,,,,27094
2015-07-17T21:13:17Z,71,NULL,,,,,,,27096
2015-07-17T21:13:17Z,89,NULL,,,,,,,27098
2015-07-19T14:19:52Z,10,NULL,,,,,,,27111
2015-07-19T19:39:58Z,10,NULL,,,,,,,27117
2015-07-19T19:39:58Z,10,A-associated-items;I-ICE,,,,,,,27118
2015-07-19T19:47:25Z,794,NULL,,,,,,,27121
2015-07-19T21:05:20Z,46,NULL,,,,,,,27127
2015-07-19T22:48:00Z,28,NULL,,,,,,,27131
2015-07-20T05:17:55Z,10,NULL,,,,,,,27132
2015-07-20T08:12:26Z,6,NULL,,,,,,,27133
2015-07-20T08:12:26Z,5,NULL,,,,,,,27134
2015-07-20T08:12:26Z,4,NULL,,,,,,,27138
2015-07-20T08:36:09Z,528,"A-debuginfo,A-debuginfo",,,,,,,27139
2015-07-20T12:41:23Z,142,"I-wrong,I-wrong",,,,,,,27140
2015-07-20T17:00:01Z,50,NULL,,,,,,,27146
2015-07-20T17:31:35Z,98,NULL,,,,,,,27147
2015-07-20T23:15:23Z,10884,"A-libs,A-libs",,,,,,,27150
2015-07-21T08:47:22Z,5448,"A-typesystem,A-typesystem,A-typesystem,A-typesystem",,,,,,,27154
2015-07-21T17:18:09Z,756,NULL,,,,,,,27158
2015-07-21T17:18:09Z,16,"A-windows,A-windows",,,,,,,27172
2015-07-21T17:18:09Z,69,"I-slow,I-slow",,,,,,,27180
2015-07-21T17:18:09Z,61,NULL,,,,,,,27182
2015-07-21T17:18:09Z,61,NULL,,,,,,,27193
2015-07-21T17:18:09Z,695,NULL,,,,,,,27194
2015-07-21T19:04:39Z,106,NULL,,,,,,,27197
2015-07-21T19:04:39Z,5634,NULL,,,,,,,27199
2015-07-21T23:00:24Z,1,A-parser;T-compiler,,,,,,,27203
2015-07-21T23:00:24Z,1348,NULL,,,,,,,27206
2015-07-22T02:46:08Z,763,NULL,,,,,,,27207
2015-07-22T05:22:03Z,46,NULL,,,,,,,27208
2015-07-22T05:22:03Z,1314,NULL,,,,,,,27209
2015-07-22T14:28:39Z,17,NULL,,,,,,,27212
2015-07-22T14:28:39Z,17,NULL,,,,,,,27213
2015-07-22T14:28:39Z,76,NULL,,,,,,,27215
2015-07-22T14:28:39Z,540,NULL,,,,,,,27216
2015-07-22T16:56:53Z,3280,NULL,,,,,,,27219
2015-07-23T16:57:18Z,73,NULL,,,,,,,27220
2015-07-23T17:27:55Z,229,I-nominated;T-libs,,,,,,,27223
2015-07-23T19:50:56Z,253,NULL,,,,,,,27228
2015-07-24T02:17:56Z,29,NULL,,,,,,,27229
2015-07-24T14:26:51Z,42,NULL,,,,,,,27230
2015-07-24T16:06:59Z,23,A-docs,,,,,,,27235
2015-07-24T18:56:04Z,519,NULL,,,,,,,27236
2015-07-24T18:56:04Z,18,A-docs,,,,,,,27238
2015-07-24T18:56:04Z,97,NULL,,,,,,,27239
2015-07-24T18:56:04Z,63,A-diagnostics;E-easy,,,,,,,27244
2015-07-24T18:56:04Z,13,A-libs;E-easy;E-mentor,,,,,,,27246
2015-07-24T18:56:04Z,4,NULL,,,,,,,27252
2015-07-24T18:56:04Z,759,I-ICE,,,,,,,27253
2015-07-24T18:56:04Z,2,I-stable-regression;P-high;T-lang,,,,,,,27258
2015-07-24T18:56:04Z,14,B-RFC-approved;T-tools,,,,,,,27260
2015-07-24T18:56:04Z,1233,NULL,,,,,,,27265
2015-07-25T19:15:43Z,906,NULL,,,,,,,27267
2015-07-26T09:16:33Z,2315,NULL,,,,,,,27270
2015-07-27T01:24:25Z,4,I-ICE,,,,,,,27272
2015-07-27T02:22:49Z,899,NULL,,,,,,,27283
2015-07-27T06:29:44Z,783,"A-docs,A-docs",,,,,,,27285
2015-07-27T17:43:40Z,4050,NULL,,,,,,,27297
2015-07-27T20:16:22Z,91,NULL,,,,,,,27307
2015-07-28T13:18:02Z,0,NULL,,,,,,,27313
2015-07-28T13:54:51Z,1,A-diagnostics,,,,,,,27315
2015-07-28T13:54:51Z,230,NULL,,,,,,,27318
2015-07-28T14:05:38Z,206,"A-syntaxext;A-testsuite,A-syntaxext;A-testsuite",,,,,,,27330
2015-07-28T16:24:35Z,86,beta-accepted,,,,,,,27334
2015-07-28T17:57:02Z,436,NULL,,,,,,,27338
2015-07-29T12:45:45Z,27,A-docs,,,,,,,27348
2015-07-29T14:30:37Z,35,"A-lint,A-codegen;I-wrong;T-compiler",,,,,,,27349
2015-07-29T14:30:37Z,24,A-closures;A-diagnostics,,,,,,,27350
2015-07-29T14:30:37Z,101,"A-build;A-testsuite;I-crash;I-nominated;T-compiler,A-build;A-testsuite;I-crash;I-nominated;T-compiler",,,,,,,27351
2015-07-29T14:30:37Z,180,"A-closures;A-diagnostics,A-closures;A-diagnostics",,,,,,,27353
2015-07-29T14:30:37Z,24,NULL,,,,,,,27358
2015-07-29T14:30:37Z,80,NULL,,,,,,,27378
2015-07-29T14:30:37Z,3358,NULL,,,,,,,27380
2015-07-29T20:13:54Z,330,NULL,,,,,,,27382
2015-07-29T20:57:15Z,4675,"beta-accepted;T-libs,beta-accepted;T-libs",,,,,,,27383
2015-07-31T08:11:34Z,31,"beta-accepted;I-stable-regression;relnotes,beta-accepted;T-libs,beta-accepted;T-libs",,,,,,,27387
2015-07-31T17:44:33Z,183,NULL,,,,,,,27390
2015-07-31T17:44:33Z,18,B-RFC-approved,,,,,,,27393
2015-07-31T21:20:19Z,1,B-RFC-approved,,,,,,,27400
2015-08-01T07:01:24Z,17,NULL,,,,,,,27407
2015-08-01T07:01:24Z,27,A-rustbook;A-tools,,,,,,,27410
2015-08-01T07:01:24Z,2,I-nominated;T-compiler,,,,,,,27413
2015-08-01T07:01:24Z,420,"A-codegen;A-windows;E-easy;P-low,A-codegen;A-windows;E-easy;P-low",,,,,,,27416
2015-08-01T18:33:02Z,38,NULL,,,,,,,27424
2015-08-01T20:08:29Z,38,I-ICE,,,,,,,27432
2015-08-01T21:40:04Z,1384,NULL,,,,,,,27436
2015-08-01T21:40:04Z,380,NULL,,,,,,,27439
2015-08-02T21:03:53Z,4,A-docs;I-nominated,,,,,,,27444
2015-08-02T21:03:53Z,6,NULL,,,,,,,27453
2015-08-03T18:57:50Z,48,"A-frontend;E-easy;I-wrong,A-frontend;E-easy;I-wrong",,,,,,,27458
2015-08-04T00:58:07Z,30,A-docs,,,,,,,27460
2015-08-04T07:22:54Z,159,NULL,,,,,,,27461
2015-08-04T12:30:54Z,23,NULL,,,,,,,27470
2015-08-04T12:30:54Z,40,NULL,,,,,,,27476
2015-08-04T12:30:54Z,18,"A-dst;P-high,A-dst;P-high",,,,,,,27483
2015-08-04T12:30:54Z,1,NULL,,,,,,,27488
2015-08-04T12:30:54Z,5,beta-accepted;T-tools,,,,,,,27494
2015-08-04T16:05:05Z,5,A-rustdoc,,,,,,,27496
2015-08-04T18:25:01Z,127,A-rustdoc,,,,,,,27499
2015-08-04T20:43:57Z,127,NULL,,,,,,,27507
2015-08-04T22:14:24Z,119,A-docs,,,,,,,27508
2015-08-05T01:07:22Z,34,NULL,,,,,,,27509
2015-08-05T08:15:39Z,302,beta-accepted,,,,,,,27512
2015-08-05T08:15:39Z,22,A-io;A-runtime,,,,,,,27516
2015-08-05T08:15:39Z,14,A-docs,,,,,,,27519
2015-08-05T16:16:30Z,14,A-docs,,,,,,,27524
2015-08-05T16:16:30Z,2,A-docs,,,,,,,27525
2015-08-05T16:23:26Z,2,A-docs,,,,,,,27528
2015-08-05T16:23:26Z,1719,NULL,,,,,,,27530
