pr,number,open,additions
pr,11994,2014-02-02T13:27:08Z,179
pr,11994,2014-02-02T13:27:08Z,103
pr,26762,2015-07-03T19:25:28Z,0
pr,26763,2015-07-03T19:45:03Z,0
pr,26766,2015-07-04T07:04:09Z,34
pr,26769,2015-07-04T11:06:51Z,31
pr,26770,2015-07-04T12:30:50Z,40
pr,26771,2015-07-04T13:11:07Z,5
pr,26772,2015-07-04T16:59:29Z,111
pr,26772,2015-07-04T16:59:29Z,111
pr,26776,2015-07-04T20:57:00Z,2
pr,26777,2015-07-04T21:11:17Z,26
pr,26778,2015-07-04T22:41:49Z,8
pr,26781,2015-07-05T00:55:57Z,21
pr,26782,2015-07-05T01:30:55Z,25
pr,26783,2015-07-05T05:54:31Z,215
pr,26784,2015-07-05T10:00:05Z,8
pr,26785,2015-07-05T10:35:46Z,21
pr,26786,2015-07-05T10:41:06Z,1
pr,26787,2015-07-05T11:03:32Z,6
pr,26788,2015-07-05T11:16:59Z,2
pr,26789,2015-07-05T11:33:16Z,9
pr,26790,2015-07-05T11:42:53Z,1
pr,26791,2015-07-05T12:46:09Z,2
pr,26792,2015-07-05T12:49:40Z,2
pr,26795,2015-07-05T14:48:30Z,1
pr,26796,2015-07-05T14:50:01Z,8
pr,26798,2015-07-05T15:35:16Z,8533
pr,26799,2015-07-05T15:50:45Z,66
pr,26800,2015-07-05T15:58:19Z,1
pr,26806,2015-07-05T19:33:16Z,14
pr,26807,2015-07-05T19:42:07Z,17
pr,26808,2015-07-05T19:44:13Z,4
pr,26809,2015-07-05T22:15:44Z,3
pr,26811,2015-07-05T23:12:21Z,8599
pr,26814,2015-07-05T23:42:18Z,13
pr,26816,2015-07-06T03:21:35Z,163
pr,26817,2015-07-06T03:53:52Z,4
pr,26818,2015-07-06T06:42:05Z,41
pr,26818,2015-07-06T06:42:05Z,41
pr,26819,2015-07-06T06:46:18Z,46
pr,26820,2015-07-06T06:55:43Z,11
pr,26821,2015-07-06T11:58:47Z,1
pr,26822,2015-07-06T12:46:21Z,6
pr,26824,2015-07-06T15:47:11Z,42
pr,26825,2015-07-06T16:14:43Z,4
pr,26827,2015-07-06T16:27:28Z,32
pr,26828,2015-07-06T17:39:51Z,300
pr,26829,2015-07-06T17:43:51Z,481
pr,26831,2015-07-06T18:39:36Z,118
pr,26832,2015-07-06T18:46:20Z,15
pr,26833,2015-07-06T19:40:03Z,59
pr,26834,2015-07-06T20:04:27Z,0
pr,26835,2015-07-06T20:11:23Z,2
pr,26836,2015-07-06T21:45:00Z,370
pr,26837,2015-07-06T22:30:53Z,370
pr,26838,2015-07-06T23:17:07Z,392
pr,26844,2015-07-07T02:06:31Z,988
pr,26846,2015-07-07T03:29:26Z,38
pr,26848,2015-07-07T11:12:30Z,143
pr,26848,2015-07-07T11:12:30Z,143
pr,26849,2015-07-07T11:55:50Z,40
pr,26850,2015-07-07T13:07:23Z,43
pr,26852,2015-07-07T13:19:20Z,29
pr,26853,2015-07-07T13:22:56Z,14
pr,26853,2015-07-07T13:22:56Z,14
pr,26853,2015-07-07T13:22:56Z,14
pr,26854,2015-07-07T13:27:12Z,14
pr,26854,2015-07-07T13:27:12Z,14
pr,26854,2015-07-07T13:27:12Z,14
pr,26855,2015-07-07T13:29:19Z,6
pr,26855,2015-07-07T13:29:19Z,6
pr,26855,2015-07-07T13:29:19Z,6
pr,26856,2015-07-07T13:37:20Z,18
pr,26856,2015-07-07T13:37:20Z,18
pr,26856,2015-07-07T13:37:20Z,18
pr,26857,2015-07-07T15:01:37Z,1
pr,26857,2015-07-07T15:01:37Z,1
pr,26857,2015-07-07T15:01:37Z,1
pr,26858,2015-07-07T15:24:25Z,0
pr,26858,2015-07-07T15:24:25Z,0
pr,26858,2015-07-07T15:24:25Z,0
pr,26859,2015-07-07T15:49:13Z,58
pr,26859,2015-07-07T15:49:13Z,58
pr,26859,2015-07-07T15:49:13Z,58
pr,26861,2015-07-07T17:49:56Z,200
pr,26861,2015-07-07T17:49:56Z,200
pr,26861,2015-07-07T17:49:56Z,200
pr,26863,2015-07-07T17:57:04Z,0
pr,26863,2015-07-07T17:57:04Z,0
pr,26863,2015-07-07T17:57:04Z,0
pr,26869,2015-07-07T22:16:02Z,289
pr,26869,2015-07-07T22:16:02Z,289
pr,26869,2015-07-07T22:16:02Z,289
pr,26870,2015-07-07T23:02:28Z,949
pr,26870,2015-07-07T23:02:28Z,949
pr,26870,2015-07-07T23:02:28Z,949
pr,26874,2015-07-08T07:14:40Z,25
pr,26874,2015-07-08T07:14:40Z,25
pr,26876,2015-07-08T09:53:44Z,3
pr,26876,2015-07-08T09:53:44Z,3
pr,26876,2015-07-08T09:53:44Z,3
pr,26877,2015-07-08T10:04:53Z,11
pr,26877,2015-07-08T10:04:53Z,11
pr,26878,2015-07-08T10:57:40Z,2
pr,26878,2015-07-08T10:57:40Z,2
pr,26878,2015-07-08T10:57:40Z,2
pr,26879,2015-07-08T10:57:58Z,66
pr,26879,2015-07-08T10:57:58Z,66
pr,26879,2015-07-08T10:57:58Z,66
pr,26881,2015-07-08T12:09:11Z,48
pr,26881,2015-07-08T12:09:11Z,48
pr,26882,2015-07-08T12:09:24Z,4
pr,26882,2015-07-08T12:09:24Z,4
pr,26883,2015-07-08T12:29:54Z,40
pr,26883,2015-07-08T12:29:54Z,40
pr,26884,2015-07-08T12:54:44Z,22
pr,26884,2015-07-08T12:54:44Z,22
pr,26885,2015-07-08T13:09:35Z,10
pr,26885,2015-07-08T13:09:35Z,10
pr,26887,2015-07-08T13:54:19Z,62
pr,26887,2015-07-08T13:54:19Z,62
pr,26887,2015-07-08T13:54:19Z,62
pr,26889,2015-07-08T14:32:32Z,0
pr,26891,2015-07-08T17:05:22Z,4
