open,effort,label
2014-02-02T13:27:08Z,197,A-lang;B-RFC-approved;B-unstable;A-parser;B-RFC
2015-07-04T16:59:29Z,0,A-frontend;E-easy;E-easy;I-cleanup;A-frontend;E-easy;E-easy;I-cleanup
2015-07-04T21:11:17Z,27,NULL
2015-07-05T05:54:31Z,343,NULL
2015-07-05T15:35:16Z,19983,NULL
2015-07-05T19:42:07Z,19,NULL
2015-07-05T23:12:21Z,20112,NULL
2015-07-06T06:55:43Z,11,A-docs
2015-07-06T15:47:11Z,54,I-ICE
2015-07-06T16:14:43Z,4,NULL
2015-07-06T16:27:28Z,32,NULL
2015-07-06T17:39:51Z,311,A-docs
2015-07-06T17:43:51Z,571,NULL
2015-07-06T19:40:03Z,0,P-low
2015-07-06T21:45:00Z,0,NULL
2015-07-06T22:30:53Z,0,NULL
2015-07-07T02:06:31Z,1420,NULL
2015-07-07T03:29:26Z,58,NULL
2015-07-07T13:19:20Z,29,NULL
2015-07-07T13:22:56Z,28,A-docs;A-docs;A-docs
2015-07-07T13:27:12Z,15,A-docs;A-docs;A-docs
2015-07-07T13:29:19Z,11,A-docs;A-docs;A-docs
2015-07-07T13:37:20Z,20,NULL
2015-07-07T15:24:25Z,0,NULL
2015-07-07T15:49:13Z,76,NULL
2015-07-07T17:49:56Z,242,NULL
2015-07-07T17:57:04Z,14,NULL
2015-07-08T10:57:58Z,69,NULL
2015-07-08T12:29:54Z,45,NULL
2015-07-08T13:09:35Z,10,A-libs;E-easy;A-libs;E-easy
2015-07-08T14:32:32Z,5,A-resolve;I-cleanup;A-resolve;I-cleanup
2015-07-08T17:05:22Z,4,NULL
2015-07-08T17:09:21Z,8,NULL
2015-07-08T18:34:27Z,78,NULL
2015-07-08T20:03:13Z,2,A-io;T-libs;A-io;T-libs;A-io;T-libs
2015-07-08T21:41:23Z,26,NULL
2015-07-08T23:05:24Z,157,relnotes
2015-07-09T16:52:58Z,39,A-llvm;I-ICE;T-compiler;A-llvm;I-ICE;T-compiler;A-llvm;I-ICE;T-compiler
2015-07-09T23:47:21Z,260,NULL
2015-07-10T07:06:43Z,60,B-RFC-approved;B-RFC-approved;B-RFC-approved
2015-07-10T09:53:20Z,119,NULL
2015-07-10T12:52:13Z,8,NULL
2015-07-10T17:46:02Z,0,NULL
2015-07-10T21:11:47Z,52,NULL
2015-07-10T23:33:20Z,1122,A-libs;I-crash;I-nominated;I-wrong;A-libs;I-crash;I-nominated;I-wrong;A-libs;I-crash;I-nominated;I-wrong
2015-07-10T23:39:49Z,198,A-libs;B-RFC-approved;E-easy;A-libs;B-RFC-approved;E-easy;A-libs;B-RFC-approved;E-easy
2015-07-11T07:40:14Z,23,relnotes;relnotes
2015-07-11T10:48:02Z,743,NULL
2015-07-11T11:33:43Z,20,NULL
2015-07-11T11:58:15Z,187,A-libs;B-RFC-approved;A-libs;B-RFC-approved;A-libs;B-RFC-approved
2015-07-12T00:45:58Z,32,A-docs;A-docs;A-docs
2015-07-12T03:05:53Z,106,NULL
2015-07-12T07:33:01Z,22,NULL
2015-07-12T07:35:55Z,133,NULL
2015-07-12T18:55:16Z,24,A-debuginfo;A-debuginfo;A-debuginfo
2015-07-12T22:44:15Z,4,NULL
2015-07-13T02:57:32Z,0,NULL
2015-07-13T06:49:11Z,61,NULL
2015-07-13T11:27:04Z,22,A-codegen;I-wrong;A-codegen;I-wrong;A-codegen;I-wrong
2015-07-13T11:58:02Z,118,NULL
2015-07-13T13:25:40Z,8,NULL
2015-07-13T17:18:03Z,385,NULL
2015-07-13T18:04:56Z,24,I-ICE;I-ICE;I-ICE
2015-07-13T22:19:03Z,182,A-diagnostics;A-diagnostics;A-diagnostics
2015-07-14T12:34:51Z,0,A-windows;A-windows
2015-07-15T05:21:25Z,0,I-ICE;I-ICE;I-ICE;I-ICE
2015-07-15T21:46:02Z,155,NULL
2015-07-16T03:51:57Z,4,NULL
2015-07-16T06:38:41Z,210,B-RFC-approved;B-RFC-approved
2015-07-16T07:25:40Z,68,A-parser;E-easy;A-parser;E-easy
2015-07-16T19:02:27Z,107,NULL
2015-07-16T19:55:57Z,7,A-rustdoc
2015-07-17T08:06:25Z,130,beta-accepted;T-libs
2015-07-17T12:00:27Z,161,NULL
2015-07-17T14:27:46Z,105,A-diagnostics
2015-07-17T14:45:12Z,913,NULL
2015-07-17T15:04:08Z,10,NULL
2015-07-17T18:08:46Z,22,NULL
2015-07-17T18:35:37Z,4,NULL
2015-07-17T19:44:05Z,52,NULL
2015-07-17T21:13:17Z,384,NULL
2015-07-18T16:26:43Z,18,NULL
2015-07-18T21:41:07Z,28,NULL
2015-07-18T22:18:59Z,39,A-associated-items;I-ICE
2015-07-19T01:15:46Z,53,NULL
2015-07-19T14:19:52Z,30,NULL
2015-07-19T19:39:58Z,17,NULL
2015-07-19T19:47:25Z,17,NULL
2015-07-19T21:05:20Z,21,NULL
2015-07-19T22:48:00Z,11,NULL
2015-07-20T05:17:55Z,0,NULL
2015-07-20T08:12:26Z,21,A-debuginfo;A-debuginfo
2015-07-20T08:36:09Z,38,I-wrong;I-wrong
2015-07-20T12:32:32Z,30,NULL
2015-07-20T12:41:23Z,47,NULL
2015-07-20T14:48:46Z,24,A-libs;A-libs
2015-07-20T17:00:01Z,20,A-typesystem;A-typesystem;A-typesystem;A-typesystem
2015-07-20T17:31:35Z,24,NULL
2015-07-20T23:15:23Z,44,A-windows;A-windows
2015-07-21T08:47:22Z,0,I-slow;I-slow
2015-07-21T11:05:06Z,64,NULL
2015-07-21T16:40:52Z,182,NULL
2015-07-21T17:18:09Z,0,NULL
2015-07-21T18:08:17Z,74,NULL
2015-07-21T19:04:39Z,0,NULL
2015-07-21T21:09:20Z,9,A-parser;T-compiler
2015-07-21T23:00:24Z,0,NULL
2015-07-22T02:46:08Z,0,NULL
2015-07-22T04:33:13Z,94,NULL
2015-07-22T05:22:03Z,0,NULL
2015-07-22T12:53:27Z,58,NULL
2015-07-22T13:19:59Z,0,NULL
2015-07-22T13:39:55Z,946,NULL
2015-07-22T14:28:39Z,0,NULL
2015-07-22T16:56:53Z,5311,NULL
2015-07-22T17:00:35Z,40,NULL
2015-07-22T22:20:35Z,0,I-nominated;T-libs
2015-07-23T07:34:43Z,0,NULL
2015-07-23T09:44:59Z,51,NULL
