open,effort,label
2010-12-03T15:15:07Z,0,A-libs;E-easy
2011-02-14T14:29:09Z,0,E-easy
2011-06-07T08:59:07Z,0,A-frontend;E-easy;I-completion
2011-06-14T00:07:56Z,0,A-libs;E-easy
2011-06-23T22:32:43Z,0,A-runtime;I-completion
2011-06-24T00:59:05Z,0,A-typesystem;I-wrong
2011-06-24T23:24:03Z,0,A-runtime;I-crash;I-wrong
2011-06-28T23:05:53Z,0,NULL
2011-07-07T13:42:56Z,0,E-easy
2011-07-08T19:26:04Z,0,I-wrong
2011-07-11T21:39:57Z,0,I-wrong
2011-07-28T06:38:34Z,6,A-frontend;E-easy
2011-10-11T14:36:31Z,0,E-easy;I-wrong
2011-10-12T09:02:49Z,246,E-easy;I-wrong
2011-10-17T13:47:40Z,0,A-libs;E-easy;I-completion
2011-10-24T01:53:09Z,0,A-linux;I-wrong
2011-10-28T19:50:33Z,0,"I-wrong,A-libs;E-easy;I-wrong,I-wrong"
2011-10-30T05:23:41Z,0,A-libs;E-easy;I-wrong
2011-10-31T13:57:33Z,0,NULL
2011-11-02T21:02:01Z,0,A-libs;E-easy;I-completion
2011-11-05T16:33:59Z,0,A-build;I-wrong
2011-11-07T13:54:45Z,0,I-wrong
2011-11-07T19:13:21Z,0,I-completion
2011-11-09T20:34:21Z,0,A-codegen;A-frontend;B-clarifying;I-completion
2011-11-10T17:36:12Z,0,A-typesystem;E-easy;I-completion
2011-11-15T18:24:23Z,0,"E-easy,A-frontend;E-easy"
2011-11-23T00:50:07Z,0,E-easy
2011-11-23T12:03:16Z,0,A-ffi;I-completion
2011-11-24T16:32:01Z,0,A-libs;B-clarifying;I-wrong;P-high
2011-12-02T02:03:59Z,0,A-libs;E-easy;I-wrong
2011-12-02T03:04:54Z,0,I-completion
2011-12-05T00:25:44Z,18,A-typesystem;E-easy;I-wrong
2011-12-07T13:27:26Z,0,I-cleanup;I-completion
2011-12-09T07:03:43Z,0,A-build;E-easy
2011-12-14T00:48:29Z,7,A-build;A-mac-osx;I-wrong
2011-12-14T05:22:13Z,0,"A-aTributes;A-driver;A-frontend;B-clarifying;I-enhancement,A-aTributes;A-driver;A-frontend;B-clarifying;I-enhancement,A-aTributes;A-frontend;I-enhancement,A-linkage;E-easy"
2011-12-15T21:00:24Z,0,"A-linkage;E-easy;I-cleanup,A-linkage;E-easy"
2011-12-16T01:46:38Z,0,A-libs;E-easy;I-cleanup
2011-12-16T17:37:59Z,83,A-libs;E-easy
2011-12-18T20:42:31Z,0,A-libs;E-easy;I-cleanup
2011-12-20T17:27:29Z,858,A-runtime;I-crash
2011-12-21T20:45:12Z,0,NULL
2011-12-22T22:07:06Z,77,NULL
2011-12-23T01:41:55Z,0,NULL
2011-12-25T19:29:33Z,95,A-frontend;E-easy;I-cleanup
2011-12-29T20:25:18Z,103,A-libs
2011-12-30T17:46:38Z,0,A-codegen;I-cleanup
2012-01-02T01:05:56Z,0,A-freebsd
2012-01-05T16:28:21Z,1559,I-crash
2012-01-11T01:38:04Z,0,A-frontend;I-completion
2012-01-16T10:10:57Z,0,"A-preTy;I-wrong,A-testsuite,A-frontend;I-completion"
2012-01-16T11:26:30Z,0,B-RFC;E-easy
2012-01-16T12:41:19Z,13,A-build;A-testsuite;E-easy
2012-01-17T18:21:14Z,0,NULL
2012-01-18T20:20:01Z,0,A-libs;E-easy
2012-01-20T16:17:33Z,0,A-frontend;A-libs;E-easy
2012-01-22T03:52:37Z,0,"A-frontend,I-wrong"
2012-01-23T04:17:22Z,18,NULL
2012-01-24T05:04:00Z,0,A-frontend;E-easy
2012-01-24T05:19:13Z,5,A-frontend;E-easy
2012-01-25T23:16:45Z,130,A-frontend;B-RFC
2012-01-26T07:34:54Z,161,A-libs;E-easy;I-wrong
2012-01-30T04:14:50Z,0,A-frontend;B-RFC;E-easy
2012-02-03T10:57:19Z,0,A-libs;E-easy;I-cleanup
2012-02-03T11:31:27Z,0,A-libs;E-easy;I-cleanup
2012-02-04T00:50:47Z,0,"A-windows;I-wrong,I-completion"
2012-02-05T14:51:26Z,0,"A-pkg;I-completion,A-pkg;I-completion;I-wrong"
2012-02-07T18:53:05Z,0,A-libs;E-easy;I-enhancement
2012-02-09T01:05:59Z,0,A-windows;I-wrong
2012-02-10T20:42:42Z,243,A-frontend
2012-02-12T05:00:10Z,27,A-libs;E-easy
2012-02-14T01:17:56Z,24,A-pkg;E-easy
2012-02-19T09:00:53Z,0,A-libs;B-clarifying;I-cleanup
2012-02-20T09:23:56Z,97,A-pkg;I-completion;I-wrong
2012-02-22T00:07:14Z,0,"A-freebsd;I-wrong,A-codegen;I-slow,A-runtime;I-cleanup"
2012-02-22T05:17:42Z,0,A-typesystem;E-easy;I-enhancement
2012-02-23T10:21:34Z,0,A-libs;I-slow
2012-02-26T00:41:24Z,0,A-libs;E-easy;I-slow
2012-03-13T01:16:18Z,0,A-codegen;E-hard;I-wrong
2012-03-18T08:27:38Z,0,A-libs;B-clarifying;I-cleanup
2012-03-31T19:39:54Z,0,A-libs;A-pkg;E-easy;I-enhancement
2012-04-01T15:49:50Z,51,A-libs
2012-04-02T00:07:50Z,0,A-runtime;I-slow
2012-04-02T03:21:18Z,442,A-runtime
2012-04-03T02:26:40Z,0,A-codegen;A-ffi;I-wrong
2012-04-03T07:58:52Z,0,A-runtime;I-cleanup
2012-04-04T18:21:07Z,0,A-build;A-libs;A-testsuite;E-hard;I-wishlist
2012-04-05T18:42:14Z,0,A-codegen;A-ffi;I-wrong
2012-04-09T07:07:59Z,19,A-codegen;I-wrong
2012-04-10T00:51:49Z,0,A-lifetimes;A-typesystem;B-RFC;I-completion;I-enhancement
2012-04-14T18:27:54Z,18,"A-libs;I-enhancement,A-frontend;E-easy"
2012-04-15T05:57:52Z,0,"A-frontend;B-RFC,A-typesystem;B-RFC;E-easy;I-papercut"
2012-04-17T00:59:45Z,6,A-build;E-easy
2012-04-20T06:35:03Z,0,A-libs;A-testsuite;I-wrong
2012-04-20T18:19:44Z,0,A-codegen;A-ffi;I-wrong
2012-05-01T03:04:56Z,36,A-docs;E-easy;I-wrong
2012-05-20T13:20:39Z,0,A-libs;A-runtime;E-easy;I-enhancement
2012-05-22T22:01:33Z,128,A-grammar;E-easy
2012-05-30T08:27:25Z,0,A-build;E-easy
2012-05-30T23:18:57Z,0,A-typesystem;B-RFC;I-papercut
2012-06-02T07:51:49Z,0,"A-libs;E-easy;I-wrong,A-libs;E-easy;I-wrong"
2012-06-02T08:14:30Z,0,"A-pkg;I-enhancement,A-pkg;I-enhancement"
2012-06-03T21:00:40Z,8,A-runtime;E-easy;I-cleanup
2012-06-04T00:58:22Z,49,A-runtime;E-easy;I-cleanup
2012-06-07T08:56:59Z,19,"A-freebsd,A-freebsd;A-testsuite;I-wrong,A-freebsd;A-testsuite;I-wrong"
2012-06-09T00:23:49Z,0,NULL
2012-06-09T01:30:02Z,1,A-codegen;I-slow
2012-06-24T05:07:19Z,0,A-resolve;I-wrong
2012-06-26T00:28:36Z,7,A-build;I-wrong
2012-06-29T14:15:37Z,0,A-libs;E-easy;I-completion
2012-06-30T11:39:26Z,1705,A-rustdoc;B-RFC;E-easy;I-enhancement
2012-07-02T23:45:36Z,0,A-frontend;E-easy;I-wishlist
2012-07-03T00:31:22Z,0,A-frontend;E-easy;I-wishlist
2012-07-04T04:55:21Z,177,A-libs;E-hard;I-completion;I-enhancement;I-wishlist
2012-07-07T01:35:45Z,0,A-runtime;I-crash
2012-07-08T23:16:36Z,26,A-libs;E-easy;I-enhancement
2012-07-09T03:32:03Z,59,NULL
2012-07-09T18:22:50Z,0,A-libs;A-pkg;B-clarifying;E-easy;I-completion;I-enhancement;I-wrong
2012-07-12T23:03:04Z,322,A-codegen;A-libs;A-runtime;I-enhancement
2012-07-13T07:19:23Z,0,A-libs;A-preTy;E-easy;I-enhancement
2012-07-13T21:41:24Z,35,A-codegen;A-llvm;E-easy;I-wrong
2012-07-16T21:35:51Z,63,NULL
2012-07-18T04:14:47Z,0,A-concurrency;A-libs;I-wrong
2012-07-22T02:03:03Z,0,NULL
2012-07-23T20:15:27Z,9,A-runtime;I-completion;P-low
