label,new,old
Unlabeled,213,3391
A-NLL,11,117
A-allocators,0,0
A-amusing,0,6
A-associated-items,11,143
A-async-await,5,114
A-attributes,0,13
A-bitrig,0,0
A-bsd,0,0
A-build,0,23
A-closures,0,21
A-codegen,0,12
A-collections,1,1
A-concurrency,0,0
A-const-fn,9,10
A-debuginfo,0,6
A-destructors,1,10
A-diagnostics,47,382
A-docs,0,4
A-dragonflybsd,0,0
A-dst,0,0
A-edition-2018-lints,0,14
A-frontend,0,34
A-hir,1,12
A-infrastructure,0,0
A-io,0,16
A-iterators,0,5
A-lang,2,19
A-libs,0,8
A-lifetimes,1,39
A-linkage,1,14
A-lint,14,70
A-linux,0,0
A-llvm,0,3
A-macros,5,74
A-mir,14,45
A-openbsd,0,0
A-parallel-queries,0,3
A-parser,15,74
A-plugin,0,0
A-resolve,2,55
A-runtime,0,2
A-rust-2018-preview,0,2
A-rustbuild,1,60
A-rustdoc,2,3
A-save-analysis,0,2
A-stability,14,46
A-syntaxext,0,1
A-testsuite,2,22
A-tools,0,0
A-traits,11,179
A-typesystem,15,51
A-unicode,0,7
A-windows,0,2
T-compiler,130,785
T-core,0,1
T-dev-tools,0,12
T-dev-tools-rustdoc,0,1
T-doc,27,128
T-infra,38,395
T-lang,11,198
T-libs,27,303
T-release,2,1
T-rustdoc,3,103
