label,new,old
Unlabeled,3692,4533
A-NLL,0,0
A-allocators,0,0
A-amusing,0,0
A-associated-items,0,0
A-async-await,0,0
A-attributes,2,0
A-bitrig,0,0
A-bsd,0,0
A-build,0,0
A-closures,0,0
A-codegen,0,0
A-collections,0,0
A-concurrency,0,0
A-const-fn,0,0
A-debuginfo,0,0
A-destructors,0,0
A-diagnostics,13,0
A-docs,0,0
A-dragonflybsd,0,0
A-dst,0,0
A-edition-2018-lints,0,0
A-frontend,0,0
A-hir,0,0
A-infrastructure,0,0
A-io,0,1
A-iterators,1,0
A-lang,0,0
A-libs,8,0
A-lifetimes,0,0
A-linkage,0,0
A-lint,13,0
A-linux,0,0
A-llvm,0,0
A-macros,1,0
A-mir,0,0
A-openbsd,0,0
A-parallel-queries,0,0
A-parser,0,0
A-plugin,0,0
A-resolve,0,0
A-runtime,0,0
A-rust-2018-preview,0,0
A-rustbuild,0,0
A-rustdoc,0,0
A-save-analysis,0,0
A-stability,0,0
A-syntaxext,0,0
A-testsuite,0,0
A-tools,0,0
A-traits,0,0
A-typesystem,1,0
A-unicode,30,0
A-windows,0,3
E-easy,34,0
T-compiler,1,4
T-core,1,0
T-dev-tools,0,0
T-dev-tools-rustdoc,0,0
T-doc,0,1
T-infra,0,0
T-lang,14,36
T-libs,12,6
T-release,0,0
T-rustdoc,0,0
