open,additions,labels
2014-02-02T13:27:08Z,179,
2014-02-02T13:27:08Z,103,
2015-07-03T19:25:28Z,0,
2015-07-03T19:45:03Z,0,
2015-07-04T07:04:09Z,34,
2015-07-04T11:06:51Z,31,
2015-07-04T12:30:50Z,40,
2015-07-04T13:11:07Z,5,
2015-07-04T16:59:29Z,111,
2015-07-04T16:59:29Z,111,
2015-07-04T20:57:00Z,2,
2015-07-04T21:11:17Z,26,
2015-07-04T22:41:49Z,8,
2015-07-05T00:55:57Z,21,
2015-07-05T01:30:55Z,25,
2015-07-05T05:54:31Z,215,
2015-07-05T10:00:05Z,8,
2015-07-05T10:35:46Z,21,
2015-07-05T10:41:06Z,1,
2015-07-05T11:03:32Z,6,
2015-07-05T11:16:59Z,2,
2015-07-05T11:33:16Z,9,
2015-07-05T11:42:53Z,1,
2015-07-05T12:46:09Z,2,
2015-07-05T12:49:40Z,2,
2015-07-05T14:48:30Z,1,
2015-07-05T14:50:01Z,8,
2015-07-05T15:35:16Z,8533,
2015-07-05T15:50:45Z,66,
2015-07-05T15:58:19Z,1,
2015-07-05T19:33:16Z,14,
2015-07-05T19:42:07Z,17,
2015-07-05T19:44:13Z,4,
2015-07-05T22:15:44Z,3,
2015-07-05T23:12:21Z,8599,
2015-07-05T23:42:18Z,13,
2015-07-06T03:21:35Z,163,
2015-07-06T03:53:52Z,4,
2015-07-06T06:42:05Z,41,
2015-07-06T06:42:05Z,41,
2015-07-06T06:46:18Z,46,
2015-07-06T06:55:43Z,11,
2015-07-06T11:58:47Z,1,
2015-07-06T12:46:21Z,6,
2015-07-06T15:47:11Z,42,
2015-07-06T16:14:43Z,4,
2015-07-06T16:27:28Z,32,
2015-07-06T17:39:51Z,300,
2015-07-06T17:43:51Z,481,
2015-07-06T18:39:36Z,118,
2015-07-06T18:46:20Z,15,
2015-07-06T19:40:03Z,59,
2015-07-06T20:04:27Z,0,
2015-07-06T20:11:23Z,2,
2015-07-06T21:45:00Z,370,
2015-07-06T22:30:53Z,370,
2015-07-06T23:17:07Z,392,
2015-07-07T02:06:31Z,988,
2015-07-07T03:29:26Z,38,
2015-07-07T11:12:30Z,143,
2015-07-07T11:12:30Z,143,
2015-07-07T11:55:50Z,40,
2015-07-07T13:07:23Z,43,
2015-07-07T13:19:20Z,29,
2015-07-07T13:22:56Z,14,
