effort_y2,year_of_survival,num_easy_y1,effort_y1
334,2014,0,23
2,2015,0,12
119,2015,0,852
109,2014,0,109
2631,2018,0,1600
7459,2013,0,2097
10,2014,0,716
43,2014,0,3948
6,2016,0,104
84,2017,0,67
58,2017,0,894
948,2018,0,415
585,2014,0,75
41,2016,0,54
106,2016,0,18
11,2019,0,374
34,2019,8,671
4,2016,0,17
4,2016,0,6
1266,2016,9,3408
12,2017,0,313
45,2016,1,400
123,2018,0,107
190,2015,0,2
1102,2015,0,1623
2,2015,0,35
41,2013,0,358
450,2015,0,303
42582,2018,1,329
118,2019,0,343
4,2017,0,4
5439,2014,0,5586
16,2015,0,2
83,2018,0,410
2,2019,0,2
13,2013,0,300
3188,2015,0,105
2066,2018,9,1660
785,2015,2,1225
2,2014,0,15
1689,2018,10,1681
20,2016,0,434
5545,2019,0,1600
1917,2018,0,402
1,2018,2,3154
202,2015,0,7
100,2019,0,21
253,2016,1,175
126231,2013,0,24
40,2016,1,214
2405,2014,0,1372
16,2018,0,14
456,2013,0,83
2,2017,0,52
8358,2015,0,1903
116,2015,0,36
6130,2015,0,559
139,2019,0,1245
25,2015,0,34
36230,2017,0,802
4326,2013,0,36
12,2017,2,16
170,2014,0,954
79,2016,0,8
34,2014,0,2240
217073,2019,0,62
201,2015,0,9
198,2016,1,811
133,2018,0,296
421,2014,0,26
79,2016,1,10
561,2014,0,559
15,2016,0,2
429,2015,0,12
19,2016,0,110
18,2016,0,15
21470,2014,0,10818
125,2016,1,1673
46,2014,0,970
2,2016,0,31
491,2015,0,12316
6,2017,0,73
162,2015,0,545
12643,2018,0,2292
470,2014,0,3999
15,2016,0,2
39,2017,0,151
1487,2015,0,5526
9,2017,2,13
2,2016,0,30
557,2015,2,867
300,2016,0,367
176,2017,0,560
21,2015,0,319
29,2015,0,44
1215,2016,1,5973
195,2018,1,59
2,2011,0,2
1564,2015,0,88
3531,2015,0,19336
1236,2015,0,550
434,2011,0,100
3,2015,0,156
57,2018,0,10
316,2015,0,363
12,2017,7,241
18,2018,0,113
122,2014,0,183
91,2016,0,36
113216,2017,0,1069
3335,2018,0,1597
3,2014,0,319
71,2016,0,4
64,2019,6,55
1012,2015,0,4
29,2018,0,969
14,2017,0,12
6,2016,0,2
2,2016,0,2
2134,2014,0,529
28621,2014,3,10794
