SUM(effort)_y1,SUM(num_easy_y1),survived
242,0,0
46,1,0
3061,0,0
23,0,1
12,0,1
8,0,0
852,0,1
2,0,0
7,0,0
2,0,0
6,0,0
109,0,1
63,2,0
8,0,0
1600,0,1
2,0,0
8,0,0
56636,0,0
2,0,0
61,0,0
2,0,0
92,0,0
40,1,0
164,0,0
4,0,0
4,0,0
156,6,0
2097,0,1
86,0,0
279,0,0
153,0,0
545,0,0
716,0,1
71,4,0
101,0,0
2,0,0
631,0,0
26,0,0
21,0,0
49,0,0
1090,0,0
3948,0,1
2,0,0
1,0,0
213,0,0
2,0,0
63,3,0
39,0,0
16,0,0
2,0,0
756,1,0
12,0,0
104,0,1
52,0,0
2,0,0
14,0,0
67,0,1
6,0,0
894,0,1
315,0,0
9,0,0
10,0,0
415,0,1
16,0,0
3276,0,0
73,0,0
75,0,1
825,0,0
65,0,0
76,0,0
54,0,1
18,0,1
4,0,0
24,0,0
4,0,0
129,0,0
4,0,0
374,0,1
64,0,0
671,8,1
103,0,0
19,0,0
23,1,0
9,0,0
17,0,1
30,0,0
56,0,0
20,0,0
9,0,0
6,0,1
3408,9,1
3,0,0
31,0,0
34,0,0
2,0,0
357,1,0
313,0,1
50,2,0
22,0,0
24,0,0
6,0,0
4,0,0
400,1,1
120,0,0
4,0,0
53,0,0
15,0,0
6,0,0
147,0,0
6,0,0
284,0,0
30,1,0
107,0,1
2,0,0
34,0,0
123,0,0
290,0,0
67,0,0
606,1,0
1,0,0
79,2,0
2,0,0
4,0,0
2,0,0
2,0,0
14,0,0
97,0,0
39,0,0
7,0,0
152,4,0
377,0,0
2,0,1
108,0,0
10,0,0
4,0,0
1623,0,1
35,0,1
12,0,0
4,0,0
159,0,0
599,7,0
11,4,0
358,0,1
2,0,0
71,0,0
303,0,1
329,1,1
343,0,1
23,0,0
4,0,0
2,0,0
196,0,0
9,0,0
4,0,1
82,0,0
5586,0,1
291,0,0
12,0,0
7,1,0
16,0,0
2,0,1
9,0,0
2,0,0
186,1,0
410,0,1
8,0,0
67,0,0
2,0,1
6,0,0
571,0,0
26,0,0
72,0,0
300,0,1
14,0,0
2,0,0
62,0,0
67,0,0
27,0,0
105,0,1
2,0,0
312,0,0
315,0,0
72,0,0
146,7,0
276,0,0
54,0,0
9612,0,0
2,0,0
365,0,0
2,0,0
1660,9,1
6,0,0
2,0,0
22,0,0
1301,9,0
1225,2,1
201,0,0
320,0,0
15,0,1
2,0,0
1681,10,1
6,0,0
4,0,0
5777,0,0
434,0,1
89,0,0
2,0,0
160,1,0
221,0,0
1600,0,1
402,0,1
112,0,0
17,0,0
17,0,0
7,0,0
20,1,0
2,0,0
3154,2,1
4,0,0
6,0,0
490,3,0
24,0,0
2,0,0
151,3,0
262,0,0
2,0,0
7,0,1
21,0,1
742,0,0
2,0,0
132,0,0
77,0,0
2,0,0
8,0,0
2,0,0
175,1,1
12,0,0
32,1,0
2,1,0
99,0,0
11,0,0
2,0,0
1375,0,0
10,0,0
93,1,0
16,1,0
917,3,0
8,0,0
24,0,1
40,0,0
4,0,0
4,0,0
214,1,1
463,0,0
12,0,0
2,0,0
12,0,0
1243,0,0
4,1,0
6,2,0
9,0,0
42,0,0
21,0,0
2,0,0
1372,0,1
14,0,1
136,0,0
22,0,0
165,3,0
134,2,0
83,0,1
377,0,0
2,0,0
52,0,1
43,0,0
9,0,0
1903,0,1
2789,4,0
193,8,0
2,0,0
2,0,0
168,0,0
4,0,0
10,0,0
36,0,1
66,0,0
196,0,0
559,0,1
50,0,0
439,0,0
17496,4,0
2,0,0
18,0,0
1245,0,1
45,0,0
4,0,0
34,0,1
43,0,0
4,0,0
26,0,0
2,0,0
41,0,0
2,0,0
2,0,0
3,0,0
8,0,0
110,1,0
115,2,0
57,4,0
2,0,0
110,0,0
802,0,1
59,1,0
12,2,0
60,0,0
36,0,1
6,0,0
8,0,0
98,2,0
16,2,1
29,0,0
954,0,1
8,0,1
2,0,0
21,0,0
247,0,0
2240,0,1
62,0,1
56,0,0
18,0,0
5,0,0
2,0,0
2,0,0
2,0,0
15,0,0
785,0,0
6,0,0
34,0,0
49,3,0
20,2,0
108,0,0
311,0,0
9,0,1
14,0,0
2,0,0
24,2,0
814,0,0
811,1,1
10,0,0
2,0,0
50,0,0
12,0,0
314,0,0
1,0,0
4,0,0
28,0,0
345,0,0
21,0,0
39,0,0
25,0,0
3,0,0
296,0,1
4,1,0
127,0,0
178,0,0
2,0,0
63,1,0
89,0,0
11,0,0
51,1,0
26,0,1
46,2,0
162,0,0
10,1,1
45,0,0
2154,1,0
5,0,0
2,1,0
9,0,0
78,0,0
7,0,0
2,0,0
43,3,0
240,0,0
559,0,1
51,1,0
2,0,1
31,2,0
39,1,0
42,1,0
6,1,0
5,2,0
12,0,1
2,0,0
31,0,0
2,0,0
226,3,0
14,0,0
12,0,0
110,0,1
15,0,1
150,0,0
16,0,0
113,0,0
10818,0,1
30,0,0
2,0,0
8,0,0
4,0,0
12,0,0
538,0,0
65,0,0
1673,1,1
970,0,1
572,0,0
732,0,0
31,0,1
4,0,0
2,0,0
25,0,0
4,0,0
4,0,0
18,0,0
2,0,0
20,0,0
6,1,0
70,0,0
12316,0,1
4160,0,0
73,0,1
16,0,0
20,2,0
77,0,0
2,0,0
5,0,0
4,0,0
2585,0,0
3,0,0
4,0,0
4,0,0
19,1,0
545,0,1
42,0,0
2,1,0
470,0,0
146,0,0
2292,0,1
14,0,0
2,0,0
3223,0,0
4,0,0
10,0,0
4,0,0
7,0,0
2,0,0
1,0,0
3999,0,1
2,0,0
83,3,0
36,1,0
