ID,SUM(additions),SUM(deletions),SUM(num_easy_y1),year,status
1,1,1,0,2010,new
2,73,27,0,2010,new
3,3,1,0,2011,new
4,93,44,0,2011,new
5,5078,5083,0,2011,new
6,937,644,0,2011,new
7,12072,12067,0,2011,new
8,732,652,0,2011,new
9,369,108,0,2011,new
10,1,1,0,2011,new
11,1042,139,0,2011,new
12,118,20,0,2011,new
13,253,64,0,2011,new
14,192,14,0,2011,new
15,1,1,0,2011,new
16,40,5,0,2011,new
17,3658,2553,0,2011,new
18,4319,593,0,2011,new
19,162,139,0,2011,new
20,281,211,0,2011,new
21,11623,4050,0,2011,new
22,503,128,0,2011,new
23,479,192,0,2011,new
24,284,150,0,2011,new
25,10,10,0,2011,new
26,205,88,0,2011,new
27,1046,1949,0,2011,new
28,19,13,0,2012,new
29,4,4,0,2012,new
30,8,8,0,2012,new
31,133,7,0,2012,new
32,5,11,0,2012,new
33,34,12,0,2012,new
34,222,241,0,2012,new
35,1,1,0,2012,new
36,141,62,0,2012,new
37,8217,4402,0,2012,new
38,2,2,0,2012,new
39,84,75,0,2012,new
40,10,14,0,2012,new
41,2,2,0,2012,new
42,300,16,0,2012,new
43,3,1,0,2012,new
44,31,32,0,2012,new
45,125,37,0,2012,new
46,17,17,0,2012,new
47,2,2,0,2012,new
48,191,255,0,2012,new
49,46,21,0,2012,new
50,2172,1208,0,2012,new
51,20,50,0,2012,new
52,148,180,0,2012,new
53,40,0,0,2012,new
54,1,1,0,2012,new
55,8389,8208,0,2012,new
56,2262,4246,0,2012,new
57,31,20,0,2012,new
58,445,147,0,2012,new
59,1,1,0,2012,new
60,253,105,0,2012,new
61,316,1,0,2012,new
62,77,53,0,2012,new
63,1686,1418,0,2012,new
64,316,258,0,2012,new
65,188,57,0,2012,new
66,7,7,0,2012,new
67,599,30,0,2012,new
68,34,2,0,2012,new
69,1,1,0,2012,new
70,4,3,0,2012,new
71,3890,1877,0,2012,new
72,365,12,0,2012,new
73,6,1,0,2012,new
74,121,90,0,2012,new
75,351,564,0,2012,new
76,12405,18713,0,2012,new
77,5,2,0,2012,new
78,25,9,0,2012,new
79,33,33,0,2012,new
80,5,5,0,2012,new
81,12,10,0,2012,new
82,18,3,0,2012,new
83,1,1,0,2012,new
84,5757,3762,0,2012,new
85,156,79,0,2012,new
86,3,3,0,2012,new
87,39,28,0,2012,new
88,2290,1260,0,2012,new
89,87,13,0,2012,new
90,35,48,0,2012,new
91,29,6,0,2012,new
92,25941,21141,0,2012,new
93,893,641,0,2012,new
94,5,5,0,2012,new
95,186,114,0,2012,new
96,2,2,0,2012,new
97,42,25,0,2012,new
98,67,51,0,2012,new
99,1,1,0,2012,new
100,5,2,0,2012,new
101,1,1,0,2012,new
102,197,33,0,2012,new
103,3,2,0,2012,new
104,64,2,0,2012,new
105,1653,832,0,2012,new
106,33,9,0,2012,new
107,67,9,0,2012,new
108,1,1,0,2012,new
109,34,12,0,2012,new
110,1,1,0,2012,new
