Multinomial Logistic Regression - Data Summary,,,,Multinomial Logistic Regression,,,,,Alpha,0.05,,,R-square,,,Significance Test,
,,,,Reference Variable,,0,,,,,,,,,,,
num_easy_y1,0,1,,,,,,,,,,,LL,-31.51485979,,LL,-31.51485979
0,1472,364,,1,,,,,,,,,LL0,-35.98219016,,LL0,-35.98219016
1,116,28,,,coeff,s.e.,Wald,p-value,exp(b),lower,upper,,R-sq (L),0.004113791,,Chi-square,8.934660732
2,53,14,,intercept,-1.408970491,0.055314942,648.8119909,0,0.24439476,,,,R-sq (CS),0.004131692,,df,1
3,27,6,,num_easy_y1,0.066015327,0.023467347,7.913371328,0.004907074,1.06824309,1.020221918,1.118524585,,R-sq (N),0.006511942,,p-value,0.002798094
4,22,2,,,,,,,,,,,AIC,2166.945661,,# iter,20
5,4,3,,,,,,,,,,,BIC,2178.299536,,,
6,12,3,,,,,,,,,,,,,,,
7,3,4,,,,,,,,,,,,,,,
8,4,1,,,,,,,,,,,,,,,
9,3,3,,,,,,,,,,,,,,,
10,1,1,,,,,,,,,,,,,,,
11,1,0,,,,,,,,,,,,,,,
12,1,0,,,,,,,,,,,,,,,
13,0,1,,,,,,,,,,,,,,,
14,0,1,,,,,,,,,,,,,,,
15,1,1,,,,,,,,,,,,,,,
16,1,0,,,,,,,,,,,,,,,
19,0,1,,,,,,,,,,,,,,,
28,0,1,,,,,,,,,,,,,,,
30,0,1,,,,,,,,,,,,,,,
34,0,1,,,,,,,,,,,,,,,
55,1,0,,,,,,,,,,,,,,,
